il,ilce,istasyon,merkezId
Ankara,Keçiören,ANKARA BÖLGE,17130
Ankara,Yenimahalle,ANKARA GÜVERCİNLİK HAVALİMANI,17131
Ankara,Gölbaşı,GÖLBAŞI/UFUK DANIŞMENT,17134
Kırıkkale,Merkez,KIRIKKALE,17135
Ankara,Elmadağ,ELMADAĞ RADAR SAHASI,17137
Yozgat,Merkez,YOZGAT,17140
Balıkesir,Edremit,BALIKESİR KOCA SEYİT HAVALİMANI,17143
Balıkesir,Edremit,EDREMİT,17145
Balıkesir,Altıeylül,BALIKESİR HAVALİMANI,17150
Kütahya,Altıntaş,KÜTAHYA ZAFER HAVALİMANI,17154
Kütahya,Merkez,KÜTAHYA,17155
Balıkesir,Balya,BALIKESİR/AKÇALDEDE RADAR SAHASI,17158
Kırşehir,Merkez,KIRŞEHİR,17160
Sivas,Gemerek,GEMEREK,17162
Tunceli,Merkez,TUNCELİ,17165
Van,Edremit,VAN FERİT MELEN HAVALİMANI,17170
Van,Edremit,VAN BÖLGE,17172
Balıkesir,Ayvalık,AYVALIK,17175
İzmir,Dikili,DİKİLİ,17180
Manisa,Akhisar,AKHİSAR HAVALİMANI,17181
Manisa,Akhisar,AKHİSAR,17184
Uşak,Merkez,UŞAK HAVALİMANI,17185
Manisa,Yunusemre,MANİSA,17186
Uşak,Merkez,UŞAK,17188
Afyonkarahisar,Merkez,AFYONKARAHİSAR HAVALİMANI,17189
Afyonkarahisar,Merkez,AFYONKARAHİSAR BÖLGE,17190
Konya,Cihanbeyli,CİHANBEYLİ,17191
Aksaray,Merkez,AKSARAY,17192
Nevşehir,Merkez,NEVŞEHİR,17193
Kayseri,Kocasinan,KAYSERİ ERKİLET HAVALİMANI,17195
Kayseri,Melikgazi,KAYSERİ BÖLGE,17196
Malatya,Merkez,MALATYA TULGA HAVALİMANI,17197
Malatya,Yeşilyurt,MALATYA,17199
Malatya,Akçadağ,MALATYA ERHAÇ HAVALİMANI,17200
Elazığ,Merkez,ELAZIĞ BÖLGE,17201
Elazığ,Merkez,ELAZIĞ HAVALİMANI,17202
Bingöl,Merkez,BİNGÖL,17203
Muş,Merkez,MUŞ,17204
Bitlis,Tatvan,TATVAN,17205
Muş,Merkez,MUŞ HAVALİMANI,17206
Bitlis,Merkez,BİTLİS,17208
Siirt,Merkez,SİİRT,17210
İzmir,Çiğli,ÇİĞLİ HAVALİMANI,17218
İzmir,Gaziemir,İZMİR ADNAN MENDERES HAVALİMANI,17219
İzmir,Konak,İZMİR BÖLGE,17220
İzmir,Çeşme,ÇEŞME,17221
İzmir,Çiğli,İZMİR KAKLIÇ HAVALİMANI,17225
İzmir,Selçuk,SELÇUK EFES HAVALİMANI,17226
Aydın,Efeler,AYDIN ÇILDIR HAVALİMANI,17227
Aydın,Kuşadası,KUŞADASI,17232
Aydın,Didim,DİDİM,17233
Aydın,Efeler,AYDIN,17234
Denizli,Pamukkale,DENİZLİ,17237
Burdur,Merkez,BURDUR,17238
Konya,Akşehir,AKŞEHİR,17239
Isparta,Merkez,ISPARTA,17240
Isparta,Gönen,ISPARTA SÜLEYMAN DEMİREL HAVALİMANI,17241
Konya,Beyşehir,BEYŞEHİR,17242
Konya,Selçuklu,KONYA HAVALİMANI,17244
Konya,Meram,KONYA BÖLGE,17245
Karaman,Merkez,KARAMAN,17246
Konya,Ereğli,EREĞLİ,17248
Niğde,Merkez,NİĞDE,17250
Kahramanmaraş,Onikişubat,KAHRAMANMARAŞ,17255
Kahramanmaraş,Dulkadiroğlu,KAHRAMANMARAŞ HAVALİMANI,17256
Denizli,Çardak,DENİZLİ ÇARDAK HAVALİMANI,17257
Gaziantep,Oğuzeli,GAZİANTEP HAVALİMANI,17260
Gaziantep,Şahinbey,GAZİANTEP,17261
Kilis,Merkez,KİLİS,17262
Adıyaman,Merkez,ADIYAMAN,17265
Adıyaman,Merkez,ADIYAMAN HAVALİMANI,17266
Şanlıurfa,Haliliye,ŞANLIURFA,17270
Şanlıurfa,Karaköprü,ŞANLIURFA GAP HAVALİMANI,17271
Mardin,Artuklu,MARDİN,17275
Mardin,Kızıltepe,MARDİN HAVALİMANI,17276
Diyarbakır,Bağlar,DİYARBAKIR HAVALİMANI,17280
Diyarbakır,Bağlar,DİYARBAKIR BÖLGE,17281
Batman,Merkez,BATMAN,17282
Diyarbakır,Sur,SUR/ÜNAL ERKAN HELİPORT,17283
Batman,Merkez,BATMAN HAVALİMANI,17284
Hakkari,Merkez,HAKKARİ,17285
Şırnak,Merkez,ŞIRNAK,17287
Muğla,Bodrum,BODRUM,17290
Muğla,Milas,MUĞLA MİLAS-BODRUM HAVALİMANI,17291
Muğla,Menteşe,MUĞLA,17292
Muğla,Bodrum,IMSIK-BODRUM HAVALİMANI,17293
Muğla,Dalaman,DALAMAN,17294
Muğla,Dalaman,MUĞLA DALAMAN HAVALİMANI,17295
Muğla,Fethiye,FETHİYE,17296
Muğla,Datça,DATÇA,17297
Muğla,Marmaris,MARMARİS,17298
Antalya,Muratpaşa,ANTALYA HAVALİMANI,17300
Antalya,Muratpaşa,ANTALYA BÖLGE,17302
Antalya,Konyaaltı,KONYAALTI,17304
Antalya,Alanya,ALANYA,17310
Mersin,Anamur,ANAMUR,17320
Mersin,Silifke,SİLİFKE,17330
Mersin,Yenişehir,MERSİN,17340
Mersin,Tarsus,ÇUKUROVA ULUSLARARASI HAVALİMANI,17345
Adana,Yüreğir,ADANA BÖLGE,17351
Adana,Seyhan,ADANA ŞAKİRPAŞA HAVALİMANI,17352
Osmaniye,Merkez,OSMANİYE,17355
Hatay,İskenderun,İSKENDERUN,17370
Hatay,Antakya,HATAY HAVALİMANI,17371
Hatay,Antakya,ANTAKYA,17372
Antalya,Finike,FİNİKE,17375
Antalya,Kaş,KAŞ,17380
Trabzon,Çaykara,ÇAYKARA/UZUNGÖL,17569
Bartın,Amasra,AMASRA,17602
İstanbul,Fatih,FATİH/İST.DEN.BİL.ENS.,17603
Kastamonu,Cide,CİDE,17604
Kastamonu,Bozkurt,KASTAMONU/BOZKURT,17606
Edirne,Uzunköprü,UZUNKÖPRÜ,17608
İstanbul,Şile,ŞİLE,17610
Zonguldak,Karadeniz Ereğli,KARADENİZ EREĞLİ,17611
Zonguldak,Devrek,DEVREK,17613
Çanakkale,Biga,BİGA/KEMER KÖYÜ,17614
Bartın,Ulus,ULUS,17615
Ordu,Gülyalı,ORDU-GİRESUN HAVALİMANI,17616
Kastamonu,Devrekani,DEVREKANİ,17618
Sinop,Boyabat,BOYABAT,17620
Samsun,Bafra,BAFRA,17622
Samsun,Alaçam,ALAÇAM,17623
Ordu,Ünye,ÜNYE,17624
Kastamonu,Çatalzeytin,ÇATALZEYTİN,17625
Trabzon,Akçaabat,AKÇAABAT,17626
Muğla,Bodrum,BODRUM/TURGUTREİS MARİNA,17627
Rize,Pazar,RİZE/PAZAR,17628
Kırklareli,Lüleburgaz,LÜLEBURGAZ TİGEM,17631
Edirne,İpsala,İPSALA,17632
Tekirdağ,Malkara,MALKARA,17634
Balıkesir,Erdek,ERDEK,17635
İstanbul,Bakırköy,FLORYA,17636
Bolu,Merkez,BOLU DAĞI,17637
Kocaeli,Gebze,GEBZE,17639
Tekirdağ,Çerkezköy,ÇERKEZKÖY,17640
Karabük,Eskipazar,ESKİPAZAR,17641
Bolu,Gerede,GEREDE,17642
Çankırı,Kurşunlu,KURŞUNLU,17643
Sakarya,Karasu,KARASU,17644
Hatay,Reyhanlı,REYHANLI TİGEM,17645
Çankırı,Çerkeş,ÇERKEŞ,17646
Çankırı,Yapraklı,YAPRAKLI,17647
Çankırı,Ilgaz,ILGAZ,17648
Adana,Ceyhan,CEYHAN TİGEM,17649
Kastamonu,Tosya,TOSYA,17650
Ankara,Polatlı,POLATLI TİGEM,17651
Çorum,Osmancık,OSMANCIK,17652
Amasya,Merkez,AMASYA/GÖKHÖYÜK TİGEM,17655
Kars,Arpaçay,ARPAÇAY,17656
Yalova,Çınarcık,ÇINARCIK,17658
Erzurum,Uzundere,UZUNDERE,17660
Bursa,İznik,İZNİK,17661
Sakarya,Geyve,GEYVE,17662
Bursa,Gemlik,GEMLİK,17663
Ankara,Kızılcahamam,KIZILCAHAMAM,17664
Çankırı,Şabanözü,ŞABANÖZÜ,17665
Erzurum,İspir,İSPİR,17666
Erzurum,Oltu,OLTU,17668
Çanakkale,Ezine,EZİNE,17671
Bursa,Karacabey,KARACABEY,17673
Balıkesir,Gönen,BALIKESİR/GÖNEN,17674
Bursa,Mustafakemalpaşa,MUSTAFAKEMALPAŞA,17675
Bursa,Osmangazi,ULUDAĞ,17676
Ankara,Nallıhan,NALLIHAN,17679
Ankara,Beypazarı,BEYPAZARI,17680
Tokat,Zile,ZİLE,17681
Giresun,Şebinkarahisar,ŞEBİNKARAHİSAR,17682
Tokat,Turhal,TURHAL,17683
Sivas,Suşehri,SUŞEHRİ,17684
Giresun,Dereli,DERELİ/KÜMBET YAYLASI,17686
Erzurum,Tortum,TORTUM,17688
Ordu,Fatsa,FATSA,17689
Erzurum,Horasan,HORASAN,17690
Kars,Sarıkamış,SARIKAMIŞ,17692
Bolu,Seben,SEBEN,17693
Bolu,Kıbrıscık,KIBRISCIK,17694
Bursa,Keles,KELES,17695
Gümüşhane,Torul,Gümüşhane / ZİGANA KAYAK MERKEZİ,17696
Balıkesir,Bigadiç,BİGADİÇ,17698
Balıkesir,Manyas,MANYAS,17699
Balıkesir,Dursunbey,DURSUNBEY,17700
Bilecik,Pazaryeri,PAZARYERİ,17701
Bilecik,Bozüyük,BOZÜYÜK,17702
Bilecik,Söğüt,SÖĞÜT,17703
Kütahya,Tavşanlı,TAVŞANLI,17704
Balıkesir,Susurluk,SUSURLUK,17705
Malatya,Akçadağ,AKÇADAĞ/SULTANSUYU TİGEM,17706
Kütahya,Emet,EMET,17707
Sivas,Ulaş,ULAŞ TİGEM,17710
Yozgat,Sorgun,SORGUN,17712
Rize,Çamlıhemşin,ÇAMLIHEMŞİN/AYDER FIRTINA DERESİ,17713
Trabzon,Maçka,MAÇKA/ALTINDERE SÜMELA,17714
Ankara,Elmadağ,ELMADAĞ BARUTSAN FABRİKASI,17715
Sivas,Zara,ZARA,17716
Tokat,Başçiftlik,BAŞÇİFTLİK,17717
Erzincan,Tercan,TERCAN,17718
Karabük,Safranbolu,SAFRANBOLU/OVACUMA BELDESİ,17719
Ağrı,Doğubayazıt,DOĞUBAYAZIT,17720
Balıkesir,Burhaniye,BURHANİYE,17722
Eskişehir,Çifteler,ÇİFTELER,17723
Ankara,Polatlı,POLATLI,17728
Ankara,Bala,BALA,17729
Kırıkkale,Keskin,KESKİN,17730
Ankara,Şereflikoçhisar,ŞEREFLİKOÇHİSAR,17731
Kırşehir,Çiçekdağı,ÇİÇEKDAĞI,17732
Ankara,Haymana,HAYMANA TARIM,17733
Sivas,Divriği,DİVRİĞİ,17734
Kırıkkale,Karakeçili,KARAKEÇİLİ,17735
Tunceli,Mazgirt,MAZGİRT,17736
Erzurum,Hınıs,HINIS,17740
Rize,İkizdere,İKİZDERE/SİVRİKAYA,17741
İzmir,Bergama,BERGAMA,17742
Konya,Kadınhanı,KADINHANI/ALTINOVA TİGEM,17744
Kırşehir,Boztepe,BOZTEPE/MALYA TİGEM,17745
Manisa,Demirci,DEMİRCİ,17746
Kütahya,Dumlupınar,DUMLUPINAR,17747
Kütahya,Simav,SİMAV,17748
İzmir,Kemalpaşa,KEMALPAŞA,17749
Kütahya,Gediz,GEDİZ,17750
Afyonkarahisar,Emirdağ,EMİRDAĞ,17752
Afyonkarahisar,Bayat,BAYAT,17753
Konya,Kulu,KULU,17754
Kütahya,Merkez,KÜTAHYA HAVALİMANI,17755
Kırşehir,Kaman,KAMAN,17756
Rize,İkizdere,İKİZDERE/DEREKÖY,17757
Kırşehir,Mucur,MUCUR,17758
Ankara,Sincan,SİNCAN/TEMELLİ,17759
Yozgat,Boğazlıyan,BOĞAZLIYAN,17760
Sivas,Kangal,KANGAL,17762
Iğdır,Merkez,IĞDIR ŞEHİT BÜLENT AYDIN HAVALİMANI,17763
Malatya,Arapkir,ARAPGİR,17764
Rize,Çamlıhemşin,ÇAMLIHEMŞİN,17765
Elazığ,Ağın,AĞIN,17766
Tunceli,Çemişgezek,ÇEMİŞGEZEK,17768
Rize,Hemşin,HEMŞİN,17769
Manisa,Şehzadeler,ŞEHZADELER/SPİL DAĞI MİLLİ PARKI,17771
Rize,Ardeşen,ARDEŞEN/YEŞİLTEPE,17772
Çanakkale,Gelibolu,GELİBOLU,17773
Elazığ,Karakoçan,KARAKOÇAN,17774
Trabzon,Of,OF/FİDANLIK,17775
Bingöl,Solhan,SOLHAN,17776
Muş,Varto,VARTO,17778
Muş,Malazgirt,MALAZGİRT,17780
Rize,Çayeli,ÇAYELİ TEİAŞ,17781
İzmir,Foça,FOÇA TOPRAK SU,17782
Van,Erciş,ERCİŞ,17784
Rize,Çayeli,ÇAYELİ/KAPTANPAŞA,17785
Van,Muradiye,MURADİYE,17786
İzmir,Aliağa,ALİAĞA,17787
İzmir,Menemen,MENEMEN,17789
Afyonkarahisar,Çobanlar,ÇOBANLAR,17791
Manisa,Salihli,SALİHLİ,17792
Afyonkarahisar,Çay,ÇAY,17793
Manisa,Köprübaşı,KÖPRÜBAŞI,17795
Afyonkarahisar,Bolvadin,BOLVADİN,17796
Manisa,Alaşehir,ALAŞEHİR,17797
Konya,Yunak,YUNAK,17798
Rize,Güneysu,GÜNEYSU,17800
Kayseri,Pınarbaşı,KAYSERİ/PINARBAŞI,17802
Elazığ,Keban,KEBAN,17804
Elazığ,Palu,PALU,17806
Bingöl,Genç,GENÇ,17808
Bitlis,Ahlat,AHLAT,17810
Van,Özalp,ÖZALP,17812
İstanbul,Kadıköy,KADIKÖY/GÖZTEPE,17813
İstanbul,Güngören,GÜNGÖREN/DAVUTPAŞA MARMARA,17814
Hakkari,Yüksekova,HAKKARİ YÜKSEKOVA SELAHADDİN EYYUBİ HAVALİMANI,17815
İzmir,Seferihisar,SEFERİHİSAR,17820
İzmir,Gaziemir,İZMİR GAZİEMİR HAVALİMANI,17821
İzmir,Ödemiş,ÖDEMİŞ,17822
Afyonkarahisar,Sultandağı,SULTANDAĞI/YAKASENEK,17823
Denizli,Güney,GÜNEY,17824
Denizli,Çivril,ÇİVRİL,17825
Isparta,Senirkent,SENİRKENT,17826
Uşak,Eşme,EŞME,17827
Isparta,Yalvaç,YALVAÇ,17828
Afyonkarahisar,Şuhut,ŞUHUT,17829
Konya,Ilgın,ILGIN,17832
Nevşehir,Avanos,AVANOS,17833
Nevşehir,Ürgüp,ÜRGÜP,17835
Kayseri,Develi,DEVELİ,17836
Kayseri,Tomarza,TOMARZA,17837
Afyonkarahisar,Merkez,AFYONKARAHİSAR KOCATEPE ÜNİVERSİTESİ,17839
Kayseri,Sarız,SARIZ,17840
Sivas,Gürün,GÜRÜN,17841
Malatya,Darende,DARENDE/BALABAN,17842
Elazığ,Baskil,BASKİL,17843
Elazığ,Sivrice,SİVRİCE,17844
Malatya,Kale,MALATYA/KALE,17845
Elazığ,Maden,MADEN,17846
Diyarbakır,Ergani,ERGANİ,17847
Aydın,Sultanhisar,SULTANHİSAR,17850
Van,Gevaş,GEVAŞ,17852
İzmir,Selçuk,SELÇUK,17854
Aydın,Nazilli,NAZİLLİ,17860
Afyonkarahisar,Dinar,DİNAR,17862
Isparta,Şarkikaraağaç,ŞARKİKARAĞAÇ,17863
Isparta,Uluborlu,ULUBORLU,17864
Isparta,Aksu,AKSU/ANAMAS,17865
Kahramanmaraş,Göksun,GÖKSUN,17866
Denizli,Pamukkale,PAMUKKALE/AKKÖY,17867
Kahramanmaraş,Afşin,AFŞİN,17868
Afyonkarahisar,Şuhut,ŞUHUT/KARAADİLLİ,17869
Kahramanmaraş,Elbistan,ELBİSTAN,17870
Adıyaman,Gölbaşı,GÖLBAŞI,17871
Malatya,Doğanşehir,DOĞANŞEHİR,17872
Diyarbakır,Çermik,ÇERMİK,17874
Van,Başkale,BAŞKALE,17880
Aydın,Söke,SÖKE,17881
Isparta,Eğirdir,EĞİRDİR,17882
Muğla,Milas,MİLAS,17884
Isparta,Atabey,ATABEY,17885
Muğla,Yatağan,YATAĞAN,17886
Isparta,Merkez,ISPARTA/DAVRAZ KAYAK MERKEZİ,17888
Denizli,Acıpayam,ACIPAYAM,17890
Burdur,Gölhisar,GÖLHİSAR,17891
Burdur,Tefenni,TEFENNİ,17892
Isparta,Sütçüler,SÜTÇÜLER,17893
Burdur,Bucak,BUCAK/SEYDİKÖY,17894
Antalya,Aksu,AKSU/BOZTEPE TİGEM,17895
Konya,Sarayönü,SARAYÖNÜ/GÖZLÜ TİGEM,17897
Eskişehir,Mahmudiye,MAHMUDİYE TİGEM,17899
Konya,Çumra,ÇUMRA,17900
Konya,Karapınar,KARAPINAR,17902
Karabük,Safranbolu,SAFRANBOLU,17904
Niğde,Ulukışla,ULUKIŞLA,17906
Osmaniye,Kadirli,KADİRLİ,17907
Adana,Kozan,KOZAN,17908
Adıyaman,Kahta,KAHTA,17910
Şanlıurfa,Siverek,SİVEREK,17912
Şanlıurfa,Hilvan,HİLVAN,17914
Antalya,Serik,SERİK/BELEK,17915
Antalya,Manavgat,MANAVGAT/TAŞAĞIL ORMAN SAHASI,17917
Şırnak,Merkez,ŞIRNAK/JANDARMA HELİKOPTER PİSTİ,17919
Hakkari,Yüksekova,YÜKSEKOVA,17920
Muğla,Milas,MİLAS/ÖREN,17921
Muğla,Köyceğiz,KÖYCEĞİZ,17924
Antalya,Korkuteli,KORKUTELİ,17926
Antalya,İbradı,İBRADI,17927
Konya,Hadim,HADİM,17928
Adana,Pozantı,POZANTI,17934
Adana,Karaisalı,KARAİSALI,17936
Şanlıurfa,Bozova,BOZOVA,17944
Şanlıurfa,Viranşehir,VİRANŞEHİR,17946
Mardin,Nusaybin,NUSAYBİN,17948
Şırnak,Cizre,ŞIRNAK ŞERAFETTİN ELÇİ HAVALİMANI,17949
Şırnak,Cizre,CİZRE,17950
Antalya,Kumluca,KUMLUCA,17951
Antalya,Elmalı,ELMALI,17952
Antalya,Kemer,ANTALYA/KEMER,17953
Antalya,Manavgat,MANAVGAT,17954
Mersin,Mut,MUT,17956
Mersin,Erdemli,ERDEMLİ,17958
Adana,Ceyhan,CEYHAN,17960
Hatay,Dörtyol,DÖRTYOL,17962
Gaziantep,İslahiye,İSLAHİYE,17965
Şanlıurfa,Birecik,BİRECİK,17966
Şanlıurfa,Ceylanpınar,CEYLANPINAR TİGEM,17968
Antalya,Demre,DEMRE,17970
Konya,Seydişehir,SEYDİŞEHİR,17972
Eskişehir,Sivrihisar,SİVRİHİSAR,17973
Antalya,Gazipaşa,GAZİPAŞA,17974
Antalya,Gazipaşa,ANTALYA GAZİPAŞA HAVALİMANI,17975
Mersin,Tarsus,TARSUS,17978
Adana,Yumurtalık,YUMURTALIK,17979
Şanlıurfa,Akçakale,AKÇAKALE,17980
Adana,Karataş,KARATAŞ,17981
Bursa,İnegöl,İNEGÖL,17984
Hatay,Samandağ,SAMANDAĞ,17986
Ankara,Elmadağ,ELMADAĞ/YEŞİLDERE,17987
Balıkesir,Gönen,GÖNEN/ÇİFTEÇEŞMELER KÖYÜ,17988
Afyonkarahisar,Sandıklı,SANDIKLI,18002
Afyonkarahisar,Sinanpaşa,SİNANPAŞA,18003
Afyonkarahisar,İscehisar,İSCEHİSAR,18004
Afyonkarahisar,İhsaniye,İHSANİYE,18005
Afyonkarahisar,Sultandağı,SULTANDAĞI,18006
Afyonkarahisar,Evciler,EVCİLER,18007
Antalya,Döşemealtı,DAĞBELİ,18008
Antalya,Kaş,KAŞ/ÇAVDIR ORMAN SAHASI,18009
Antalya,Kaş,KAŞ/KASABA ORMAN SAHASI,18010
Antalya,Manavgat,MANAVGAT/BEŞKONAK ORMAN SAHASI,18011
Antalya,Gündoğmuş,GÜNDOĞMUŞ ORMAN DEPOSU,18012
Antalya,Akseki,AKSEKİ/MURTİÇİ ORMAN SAHASI,18013
Antalya,Serik,SERİK/GEBİZ ORMAN SAHASI,18014
Antalya,Korkuteli,KORKUTELİ/BÜK ORMAN SAHASI,18015
Antalya,Döşemealtı,DÖŞEMEALTI/NEBİLER ORMAN SAHASI,18016
Muğla,Marmaris,MARMARİS/ÇETİBELİ ORMAN DEPOSU,18017
Muğla,Fethiye,FETHİYE/DEĞİRMENBAŞI EKİP ORMAN DEPOSU,18018
Muğla,Köyceğiz,KÖYCEĞİZ/ZEYTİNALANI EKİP ORMAN DEPOSU,18019
Muğla,Milas,MİLAS/DENİZCİK ORMAN DEPOSU,18020
Muğla,Ula,ULA/HELİKOPTER PİSTİ ORMAN SAHASI,18021
Muğla,Kavaklıdere,KAVAKLIDERE/KOCATAŞ ORMAN SAHASI,18022
Aydın,Çine,ÇİNE,18023
Aydın,Çine,ÇİNE/KAVŞİT EKİP ORMAN SAHASI,18024
Aydın,Karacasu,KARACASU,18025
Aydın,İncirliova,İNCİRLİOVA/İNCİR ARŞ.(TAGEM),18026
Aydın,Bozdoğan,BOZDOĞAN,18027
İzmir,Urla,URLA,18028
İzmir,Tire,TİRE,18029
İzmir,Torbalı,TORBALI,18030
İzmir,Bornova,BORNOVA/ZEYTİNCİLİK ARŞ.(TAGEM),18031
İzmir,Karaburun,KARABURUN,18032
Manisa,Yunusemre,MANİSA KENT ORMANI,18033
İzmir,Menderes,MENDERES ORMAN SAHASI,18034
İzmir,Urla,URLA/UZUNKUYU ORMAN SAHASI,18035
Manisa,Akhisar,AKHİSAR/KARAKÖY ORMAN DEPOSU,18036
Afyonkarahisar,Dazkırı,DAZKIRI,18037
İzmir,Aliağa,ALİAĞA/BOZKÖY ORMAN SAHASI,18038
Manisa,Soma,SOMA/CENKYERİ ORMAN SAHASI,18039
Manisa,Soma,SOMA,18040
Manisa,Gördes,GÖRDES,18041
Manisa,Kula,KULA,18042
Manisa,Gölmarmara,GÖLMARMARA,18043
Manisa,Yunusemre,YUNUSEMRE/ÇAKMAK ORMAN SAHASI,18044
Ankara,Ayaş,AYAŞ,18045
Ankara,Çankaya,ÇANKAYA/TBMM,18046
Antalya,Akseki,AKSEKİ,18047
Muğla,Ula,ULA/AKYAKA,18048
İzmir,Bayındır,BAYINDIR,18049
İzmir,Menderes,MENDERES/GÜMÜLDÜR,18050
Manisa,Saruhanlı,SARUHANLI,18051
Manisa,Turgutlu,TURGUTLU,18052
Adana,Tufanbeyli,TUFANBEYLİ,18053
Adana,Yüreğir,YÜREĞİR/ÇUKUROVA TARIM ARŞ. (TAGEM),18054
Adana,İmamoğlu,İMAMOĞLU,18055
Adana,Saimbeyli,SAİMBEYLİ,18056
Hatay,Belen,BELEN,18057
Hatay,Altınözü,ALTINÖZÜ,18058
Mersin,Gülnar,GÜLNAR,18059
Mersin,Çamlıyayla,ÇAMLIYAYLA/MEYVECİLİK ARŞ. (TAGEM),18060
Mersin,Aydıncık,MERSİN/AYDINCIK,18061
Mersin,Silifke,SİLİFKE/UZUNCABURÇ,18062
Osmaniye,Bahçe,BAHÇE,18063
Osmaniye,Düziçi,DÜZİÇİ,18064
